Bière du Mont Saint-Aubert,33,8,Blonde,Brasserie de Brunehaut
Bière Spéciale Belge,33,5,Spéciale,Brasserie La Binchoise
Big Bavik,33,5,Blonde,Brasserie Bavik
Big Chouffe,33,8,Blonde,Brasserie d'Achouffe (Brasserie Duvel Moortgat)
Bierpruver Dubbel Bruin,33,8,Double,Huisbrouwerij de 3 vaten
Bierpruver Tripel,33,9,Triple,Huisbrouwerij de 3 vaten
Bierpruver Winter,50,8,Bière de Noël,Huisbrouwerij de 3 vaten
La Binchoise Blonde,33,6,Blonde,Brasserie La Binchoise
La Binchoise Brune,33,8,,Brasserie La Binchoise
La Binchoise Organic’ Brune,33,7,Bio,Brasserie La Binchoise
La Binchoise Organic’ Miel,33,9,"Bio, Bière au miel",Brasserie La Binchoise
La Binchoise Organic’ Triple,33,9,"Bio, Triple",Brasserie La Binchoise
La Binchoise Spéciale Noël,33,9,Bière de Noël,Brasserie La Binchoise
La Binchoise Triple,33,9,Triple,Brasserie La Binchoise
La Binchoise XO,50,12,,Brasserie La Binchoise
Bink Blond,33,6,Ale,Brasserie Cornelissen pour Brasserie Kerkom
Bink Bruin,33,6,Double,Brasserie Cornelissen pour Brasserie Kerkom
Bink Bloesem,33,7,Blonde,Brasserie Cornelissen pour Brasserie Kerkom
Biolégère,33,4,"Bio, Saison",Brasserie Dupont
Bitter Sweet Symphony,33,8,"Double, IPA",Brasserie 't Gaverhopke
Bittere Waarheid,33,11,IPA,Brasserie Het Alternatief par la Brasserie De Graal
Black,33,6,Brune,Brasserie de Bellevaux
Black Albert,50,13,Stout,Brasserie Deca pour la De Struise Brouwers
Black Damnation I,33,13,Stout,Brasserie Deca pour la De Struise Brouwers
Black Damnation II (Mocha Bomb),33,12,Stout,Brasserie Deca pour la De Struise Brouwers
Black Damnation III (Black Mes),33,13,Stout,Brasserie Deca pour la De Struise Brouwers
Black Damnation IV (Coffée Club),33,13,Stout,Brasserie Deca pour la De Struise Brouwers
Black Damnation V (Double Black),33,26,Stout,Brasserie Deca pour la De Struise Brouwers
Black,33,6,"Brune, Ale",Brasserie de Bellevaux
Black Ghost,33,8,,Brasserie Fantôme
Black Hole,50,6,Pils,Brasserie Roman
Black Jack,33,7,Porter,Brasserie Deca pour la De Struise Brouwers
Blanche,33,5,Blanche,Brasserie de Bellevaux
Blanche d'Ardenne,33,4,Blanche,Brasserie du Bocq pour la Brasserie Corsendonk
Blanche de Bouillon,33,6,Blanche,Brasserie de Bouillon
Blanche de Brabant,33,5,Blanche,Groupe John Martin
Blanche de Bruxelles,33,5,Blanche,Brasserie Lefebvre
Blanche de Charleroi,33,5,Blanche,Brasserie du Val de Sambre
Blanche de Namur,50,5,Blanche,Brasserie du Bocq
Blanche de Namur Rosée,33,3,"Blanche, Fruitée",Brasserie du Bocq
Blanche de Saint-Job,33,5,Blanche,Brasserie L'Imprimerie
Blanche de Tubize,33,5,Blanche,Brasserie de Tubize
Blanche des Honnelles,33,6,Blanche,Brasserie de l'Abbaye des Rocs
Blanche des Neiges,33,5,Blanche,Brasserie Huyghe
Blanche des Saisis,33,6,Blanche,Brasserie Ellezelloise
Blanche du Hainaut Bio,33,6,"Blanche, Bio",Brasserie Dupont
Blanchette de Gaume,50,5,Blanche,Brasserie Millevertus
Blanchette de Lorraine,33,5,"Blanche, Fruitée",Brasserie Millevertus
BLAUW,33,5,Pils,Brasserie Bockor
Blauwersbier,33,7,,Brasserie Van Eecke
Bloemenbier,33,7,Ale,De Proefbrouwerij
La Blondasse,33,5,Blonde,Brasserie du Renard
Bière de la Bonde,33,10,Triple,Brasserie Van Eecke
Bleeken Moriaen,33,10,Triple,Brasserie Van Eecke
Blégny-Mine bière des Houyeux,50,6,,Brasserie de l'Abbaye du Val-Dieu
Blonde,33,7,Blonde,Brasserie de Bellevaux
Blonde,33,1,Blonde,Brasserie Haacht
Blonde Bie,33,8,Blonde,Brasserie De Bie
Blonde de Brabant,33,6,Blonde,Groupe John Martin
Blonde de Noël,33,10,Blonde,Brasserie Caulier
La Blonde du Domaine des Grottes de Han,33,7,Blonde,Brasserie Du Bocq
Blondelle,33,7,Blonde,t Hofbrouwerijke
Blondine,50,8,Blonde,Brasserie Van Steenberge pour Hopduvel Gent
Blondine IPA,33,8,IPA,Brasserie De Graal pour Hopduvel Gent
Bobeline black label,33,9,Brune,Brasserie Huyghe
Bobeline blanche fraise,33,4,Blanche,Brasserie Huyghe
Bobeline blonde,33,9,Blonde,Brasserie Huyghe
Bock Leroy,33,2,Bière de table,Brasserie Het Sas
Bock Pils,33,5,Pils,Brasserie Palm
Bockor Pils,33,5,Pils,Brasserie Bockor
Bocq Christmas,50,8,Bière de Noël,Brasserie du Bocq
Boembeke Luiwerk,33,7,Blonde,Brasserie De Graal
Boerinneken,33,10,Blonde,De Proefbrouwerij pour Den Ouden Advokaat
Boerke Blond,33,7,Blonde,Brasserie Angerik
Boerke Bruin,33,7,Brune,Brasserie Angerik
Boerke Krieken,33,7,Fruitée,Brasserie Angerik
Boerken,33,10,Brune,De Proefbrouwerij pour Den Ouden Advokaat
Bokkereyer,33,6,,Brasserie Cornelissen
Bolleville Calvados Barrel OA,50,10,,Brasserie Alvinne
Bokrijks,33,7,"Blonde, Abbaye",Brasserie du Bocq
Bon Homme,33,7,Brune,Brasserie De Leite
Bon Secours Ambrée,33,8,Ambrée,Brasserie Caulier
Bon Secours Blonde,33,8,Blonde,Brasserie Caulier
Bon Secours Brune,33,8,Brune,Brasserie Caulier
Bon Secours Framboise,33,7,Fruitée,Brasserie Caulier
Bon Secours Myrtille,33,7,Fruitée,Brasserie Caulier
Bon Secours Noël,50,10,"Blonde, Bière de Noël",Brasserie Caulier
Boneffe,33,9,Abbaye,Brasserie de Tubize
Bons vœux,33,10,Blonde,Brasserie Dupont
Bornem Dubbel,33,8,Abbaye,Brasserie Van Steenberge
Bornem Tripel,33,9,Abbaye,Brasserie Van Steenberge
Bos bier,33,9,Fruitée,Brasserie DijkWaert
Bosbier,33,4,"Fruitée, Pils",Brasserie Cornelissen
Boscoli,33,4,Fruitée,Brasserie Het Anker
Boskeun,50,7,Blonde,De Dolle Brouwers
Bosprotter,33,9,Triple,t Hofbrouwerijke
La Botteresse Ambrée,33,9,,Brasserie La Botteresse de Sur-les-Bois
La Botteresse de Noël,33,11,Bière de Noël,Brasserie La Botteresse de Sur-les-Bois
La Botteresse Blonde,33,8,,Brasserie La Botteresse de Sur-les-Bois
La Botteresse Brune,33,10,,Brasserie La Botteresse de Sur-les-Bois
La Botteresse aux cerises,33,6,Fruitée,Brasserie La Botteresse de Sur-les-Bois
La Botteresse Ambrée au miel,33,9,Bière au miel,Brasserie La Botteresse de Sur-les-Bois
La Botteresse aux pommes,50,5,Fruitée,Brasserie La Botteresse de Sur-les-Bois
La Bouillonnaise,33,7,Brune,Brasserie de Bouillon
Bourgogne des Flandres Blond,33,6,Blonde,Brasserie Bourgogne des Flandres
Bourgogne des Flandres Bruin,33,5,Vieille brune,Brasserie Bourgogne des Flandres
BR Blonde,33,6,Blonde,Brasserie Demanez
La Brabançonne Ambrée,33,8,Ambrée,Brasserie du Brabant
La Brabançonne Blonde au Miel,33,7,Blonde,Brasserie du Brabant
La Brabançonne Brune,33,9,Brune,Brasserie du Brabant
Brasserie des Rocs Triple Impériale,50,10,,Brasserie de l'Abbaye des Rocs
Brave Broeder,33,5,,Brasserie de Silly
Bravoure,33,7,"Rauchbier, Ambrée",Brasserie De Dochter van de Korenaar
Bremserbière,33,6,Ambrée,Huisbrouwerij de 3 vaten
Brice,33,8,Blonde,Brasserie Grain d'Orge
Briekebakker,33,9,Triple,Brasserie Alvinne
Brigand,33,9,Blonde,Brasserie Van Honsebrouck
Brigand IPA,33,7,IPA,Brasserie Van Honsebrouck
Broeder Jacob Formidabel,50,6,blonde,Brasserie Broeder Jacob
Broeder Jacob Bruin,33,8,Brune,Brasserie Broeder Jacob
Broeder Jacob Tripel,33,8,Triple,Brasserie Broeder Jacob
Brogne Blonde,33,7,Blonde,Abbaye de Brogne
Brown Sugar,33,9,Brune,Brasserie Grain d'Orge